CODE	FAMILY	TYPE	DOSE(mg)	DESCRIPTION
EBCA6714NEMIS	NSAID	NSAID	200	Ebretin  Capsules  200 mg
EBCA6715NEMIS	NSAID	NSAID	300	Ebretin  Capsules  300 mg
EBTA1019	NSAID	NSAID	400	Ebufac  Tablets  400 mg
ECCA15788NEMIS	NSAID	NSAID	300	Eccoxolac  Capsules  300 mg
ECM/17498NEMIS	NSAID	NSAID	75	Econac Sr  M/R tablets  75 mg
ECM/17500NEMIS	NSAID	NSAID	100	Econac Xl  M/R tablets  100 mg
EMCA10948BRIDL	NSAID	NSAID	60	Emflex  Capsules  60 mg
ETCA10348BRIDL	NSAID	NSAID	300	Etodolac  Capsules  300 mg
ETCA4907	NSAID	NSAID	200	Etodolac  Capsules  200 mg
ETM/23692NEMIS	NSAID	NSAID	600	Etopan Xl  M/R tablets  600 mg
ETM/24010EMIS	NSAID	NSAID	600	Etodolac  M/R tablets  600 mg
ETTA12809NEMIS	NSAID	NSAID	60	Etoricoxib  Tablets  60 mg
ETTA12810NEMIS	NSAID	NSAID	90	Etoricoxib  Tablets  90 mg
ETTA12811NEMIS	NSAID	NSAID	120	Etoricoxib  Tablets  120 mg
ETTA28966NEMIS	NSAID	NSAID	30	Etoricoxib  Tablets  30 mg
ETTA4908	NSAID	NSAID	200	Etodolac  Tablets  200 mg
FECA1148	NSAID	NSAID	10	Feldene  Capsules  10 mg
FECA1149	NSAID	NSAID	20	Feldene  Capsules  20 mg
FECA1154	NSAID	NSAID	300	Fenbid  Capsules  300 mg
FECA1156	NSAID	NSAID	300	Fenbufen  Capsules  300 mg
FEDI1150	NSAID	NSAID	1	Feldene  Dispersible tablets  
FEDI1151	NSAID	NSAID	1	Feldene  Dispersible tablets  
FEEF10340BRIDL	NSAID	NSAID	1	Fenbufen  Effervescent tablets
FEM/13657NEMIS	NSAID	NSAID	75	Fenactol Sr  M/R tablets  75 m
FEM/13659NEMIS	NSAID	NSAID	1	Fenactol Retard  M/R tablets  
FEM/26313EMIS	NSAID	NSAID	200	Fenoket  M/R capsules  200 mg
FESU13344NEMIS	NSAID	NSAID	100	Feverfen  Suspension  100 mg/5
FETA1157	NSAID	NSAID	300	Fenbufen  Tablets  300 mg
FETA1158	NSAID	NSAID	200	Fenoprofen  Tablets  200 mg
FETA1159	NSAID	NSAID	300	Fenoprofen  Tablets  300 mg
FETA1160	NSAID	NSAID	600	Fenoprofen  Tablets  600 mg
FETA1161	NSAID	NSAID	300	Fenopron  Tablets  300 mg
FETA1162	NSAID	NSAID	600	Fenopron  Tablets  600 mg
FETA13653NEMIS	NSAID	NSAID	25	Fenactol  Tablets  25 mg
FETA13655NEMIS	NSAID	NSAID	1	Fenactol  Gastro-resistant Tab
FETA22463EMIS	NSAID	NSAID	1	Feldene Melt  Orodispersible t
FETA4911	NSAID	NSAID	450	Fenbufen  Tablets  450 mg
FLCA10333BRIDL	NSAID	NSAID	200	Flurbiprofen Sr  Capsules  200
FLCA18825EMIS	NSAID	NSAID	300	Fenbuzip 300  Capsules  300 mg
FLCA24289EMIS	NSAID	NSAID	10	Flamatrol  Capsules  10 mg
FLCA24290EMIS	NSAID	NSAID	20	Flamatrol  Capsules  20 mg
FLLO1529NEMIS	NSAID	NSAID	75	Flurbiprofen  Lozenges  8.75 m
FLM/21338NEMIS	NSAID	NSAID	75	Flamatak  M/R tablets  75 mg
FLM/21393NEMIS	NSAID	NSAID	100	Flamatak  M/R tablets  100 mg
FLM/26557EMIS	NSAID	NSAID	100	Flamrase Sr  M/R tablets  100 
FLM/33810EMIS	NSAID	NSAID	100	Flexotard Mr  M/R tablets  100
FLM/35149EMIS	NSAID	NSAID	75	Flamrase Sr  M/R tablets  75 m
FLTA1216	NSAID	NSAID	100	Flurbiprofen  Tablets  100 mg
FLTA1217	NSAID	NSAID	50	Flurbiprofen  Tablets  50 mg
FLTA18826EMIS	NSAID	NSAID	300	Fenbuzip 300  Tablets  300 mg
FLTA18828EMIS	NSAID	NSAID	450	Fenbuzip 450  Tablets  450 mg
FLTA24255EMIS	NSAID	NSAID	25	Flamrase  Tablets  25 mg
FLTA24256EMIS	NSAID	NSAID	50	Flamrase  Tablets  50 mg
FLTA8363EGTON	NSAID	NSAID	1	Flexin Continus  M/R tablets  
FLTA9564EMIS	NSAID	NSAID	1	Flexin-Ls Continus  M/R tablet
FLTA9566EMIS	NSAID	NSAID	1	Flexin-25 Continus  M/R tablet
FRCA8799BRIDL	NSAID	NSAID	200	Froben Sr  Capsules  200 mg
FRTA1245	NSAID	NSAID	100	Froben  Tablets  100 mg
FRTA1246	NSAID	NSAID	50	Froben  Tablets  50 mg
GAOR6426NEMIS	NSAID	NSAID	10	Galprofen  Oral suspension  10
HETA16101NEMIS	NSAID	NSAID	200	Hedex Ibuprofen  Tablets  200 
IBCA1427	NSAID	NSAID	300	Ibuprofen  Capsules  300 mg
IBCA29306NEMIS	NSAID	NSAID	200	Ibuprofen  Capsules  200 mg
IBCR10558BRIDL	NSAID	NSAID	1	Ibuprofen  Cream  5 %
IBDI14330NEMIS	NSAID	NSAID	1	Ibuprofen  Dissolving Tablets 
IBFC10455BRIDL	NSAID	NSAID	800	Ibuprofen  Fc tablets  800 mg
IBGR19661EMIS	NSAID	NSAID	600	Ibuprofen  Granules  600 mg/sa
IBM/18882EMIS	NSAID	NSAID	800	Ibuprofen  M/R tablets  800 mg
IBMO35123EMIS	NSAID	NSAID	1	Ibuprofen  Mousse  5 %
IBOR24735NEMIS	NSAID	NSAID	1	Ibuprofen  Oral Suspension Sug
IBPU25784EMIS	NSAID	NSAID	1	Ibuprofen  Pump spray  5 %
IBSU13346NEMIS	NSAID	NSAID	100	Ibuprofen  Suspension  100 mg/
IBSU34992EMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSU37580MGEMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSU37581MGEMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSU37582MGEMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSU37583MGEMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSU37584MGEMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSU37585MGEMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSU37586MGEMIS	NSAID	NSAID	1	Ibuprofen  Sugar-free suspensi
IBSY1428	NSAID	NSAID	100	Ibuprofen  Syrup  100 mg/5 ml
IBTA1429	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg
IBTA1430	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg
IBTA1431	NSAID	NSAID	600	Ibuprofen  Tablets  600 mg
IBTA19439NEMIS	NSAID	NSAID	1	Ibuprofen M/r And Codeine  Tab
IBTA25101NEMIS	NSAID	NSAID	1	Ibuprofen And Pseudoephedrine 
IBTA31837NEMIS	NSAID	NSAID	200	Ibuprofen Lysine  Tablets  200
IBTA35490MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Te
IBTA35491MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Ke
IBTA35492MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Va
IBTA35493MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (OB
IBTA35494MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Th
IBTA35495MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Un
IBTA35496MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (A.
IBTA35497MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Ra
IBTA35498MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Iv
IBTA35499MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (As
IBTA35500MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Wi
IBTA35501MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Su
IBTA35502MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Ll
IBTA35503MGEMIS	NSAID	NSAID	200	Ibuprofen  Tablets  200 mg (Wo
IBTA35504MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Te
IBTA35505MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Th
IBTA35506MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Va
IBTA35507MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (St
IBTA35508MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Ke
IBTA35509MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Un
IBTA35510MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (As
IBTA35511MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Ra
IBTA35512MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (OB
IBTA35513MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Sa
IBTA35514MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Iv
IBTA35515MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (A.
IBTA35516MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Su
IBTA35517MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Ll
IBTA35518MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Wo
IBTA35519MGEMIS	NSAID	NSAID	400	Ibuprofen  Tablets  400 mg (Ga
IBTA40030NEMIS	NSAID	NSAID	684	Ibuprofen Lysine  Tablets  684
IBTAEGTON6109	NSAID	NSAID	200	Ibular  Tablets  200 mg
IBTAEGTON6111	NSAID	NSAID	200	Ibumetin  Tablets  200 mg
IBTAEGTON6121	NSAID	NSAID	400	Ibular  Tablets  400 mg
IBTAEGTON6124	NSAID	NSAID	400	Ibumetin  Tablets  400 mg
IBTAEGTON6125	NSAID	NSAID	600	Ibumetin  Tablets  600 mg
IMCA1438	NSAID	NSAID	25	Imbrilon  Capsules  25 mg
IMCA1439	NSAID	NSAID	50	Imbrilon  Capsules  50 mg
INCA10535BRIDL	NSAID	NSAID	25	Indomax-25  Capsules  25 mg
INCA1458	NSAID	NSAID	25	Indocid  Capsules  25 mg
INCA1459	NSAID	NSAID	50	Indocid  Capsules  50 mg
INCA1462	NSAID	NSAID	75	Indocid-R  M/R capsules  75 mg
INCA1463	NSAID	NSAID	25	Indoflex  Capsules  25 mg
INCA1464	NSAID	NSAID	75	Indolar Sr  M/R capsules  75 m
INCA1465	NSAID	NSAID	25	Indomod  M/R capsules  25 mg
INCA1466	NSAID	NSAID	75	Indomod  M/R capsules  75 mg
INCA17688NEMIS	NSAID	NSAID	25	Indometacin  Capsules  25 mg
INCA17689NEMIS	NSAID	NSAID	50	Indometacin  Capsules  50 mg
INCA5024	NSAID	NSAID	25	Indomethacin  Capsules  25 mg
INCA6932	NSAID	NSAID	50	Indomethacin  Capsules  50 mg
INM/17691NEMIS	NSAID	NSAID	25	Indometacin  M/R tablets  25 m
INM/17692NEMIS	NSAID	NSAID	50	Indometacin  M/R tablets  50 m
INM/17693NEMIS	NSAID	NSAID	75	Indometacin  M/R tablets  75 m
INM/17694NEMIS	NSAID	NSAID	25	Indometacin  M/R capsules  25 
INM/17695NEMIS	NSAID	NSAID	75	Indometacin  M/R capsules  75 
INS/9570EMIS	NSAID	NSAID	25	Indomethacin  M/R tablets  25 
INS/9571EMIS	NSAID	NSAID	50	Indomethacin  M/R tablets  50 
INS/9572EMIS	NSAID	NSAID	75	Indomethacin  M/R tablets  75 
INSL10307BRIDL	NSAID	NSAID	25	Indomethacin  M/R capsules  25
INSL9953BRIDL	NSAID	NSAID	75	Indomethacin  M/R capsules  75
INSR10537BRIDL	NSAID	NSAID	75	Indomax-75-Sr  M/R capsules  7
INSU1461	NSAID	NSAID	25	Indocid  Suspension  25 mg/5 m
INSU5027	NSAID	NSAID	25	Indomethacin  Suspension  25 m
JOM/4512NEMIS	NSAID	NSAID	200	Jomethid Xl  M/R capsules  200
JUSU9285BRIDL	NSAID	NSAID	100	Junifen  Suspension  100 mg/5 
KECA1569	NSAID	NSAID	100	Ketoprofen  Capsules  100 mg
KECA1570	NSAID	NSAID	200	Ketoprofen  Capsules  200 mg
KECA1571	NSAID	NSAID	50	Ketoprofen  Capsules  50 mg
KECA8761BRIDL	NSAID	NSAID	100	Ketoprofen  M/R capsules  100 
KECA8763BRIDL	NSAID	NSAID	200	Ketoprofen  M/R capsules  200 
KEM/1548NEMIS	NSAID	NSAID	100	Ketil Cr  M/R capsules  100 mg
KEM/1549NEMIS	NSAID	NSAID	200	Ketil Cr  M/R capsules  200 mg
KEM/24099EMIS	NSAID	NSAID	150	Ketoprofen  M/R capsules  150 
KEM/24273EMIS	NSAID	NSAID	100	Ketovail  M/R capsules  100 mg
KEM/24274EMIS	NSAID	NSAID	200	Ketovail  M/R capsules  200 mg
KEM/26315EMIS	NSAID	NSAID	200	Ketocid  M/R capsules  200 mg
KEM/26658EMIS	NSAID	NSAID	200	Ketozip Xl  M/R capsules  200 
KEM/39417NEMIS	NSAID	NSAID	1	Ketoprofen And Omeprazole  M/R
KEM/39418NEMIS	NSAID	NSAID	1	Ketoprofen And Omeprazole  M/R
KETA21933EMIS	NSAID	NSAID	1	Ketorolac Trometamol  Tablets 
KETA50005EMIS	NSAID	NSAID	25	Keral  Tablets  25 mg
LACA1607	NSAID	NSAID	1	Larapam (Piroxicam)  Capsules 
LACA1608	NSAID	NSAID	1	Larapam (Piroxicam)  Capsules 
LAM/4222NEMIS	NSAID	NSAID	200	Larafen Cr  M/R capsules  200 
LATA1605	NSAID	NSAID	250	Laraflex  Tablets  250 mg
LATA1606	NSAID	NSAID	500	Laraflex  Tablets  500 mg
LECA1637	NSAID	NSAID	300	Lederfen  Capsules  300 mg
LEEF9723BRIDL	NSAID	NSAID	1	Lederfen  Effervescent tablets
LETA10497BRIDL	NSAID	NSAID	450	Lederfen  Tablets  450 mg
LETA1638	NSAID	NSAID	300	Lederfen  Tablets  300 mg
LETA1639	NSAID	NSAID	450	Lederfen F  Tablets  450 mg
LITA19741EMIS	NSAID	NSAID	600	Lidifen-F  Tablets  600 mg
LITA34263EMIS	NSAID	NSAID	200	Librofem  Tablets  200 mg
LITA9957BRIDL	NSAID	NSAID	200	Lidifen  Tablets  200 mg
LITA9959BRIDL	NSAID	NSAID	400	Lidifen  Tablets  400 mg
LOCA1682	NSAID	NSAID	200	Lodine  Capsules  200 mg
LOCA9511BRIDL	NSAID	NSAID	300	Lodine  Capsules  300 mg
LOM/24008EMIS	NSAID	NSAID	600	Lodine Sr  M/R tablets  600 mg
LOM/29323EMIS	NSAID	NSAID	1	Lofensaid Retard  M/R tablets 
LOM/29324EMIS	NSAID	NSAID	1	Lofensaid Retard  M/R tablets 
LOTA10616BRIDL	NSAID	NSAID	200	Lodine  Tablets  200 mg
LOTA11601NEMIS	NSAID	NSAID	4	Lornoxicam  Tablets  4 mg
LOTA11603NEMIS	NSAID	NSAID	8	Lornoxicam  Tablets  8 mg
LOTA27240EMIS	NSAID	NSAID	25	Lofensaid  Tablets  25 mg
LOTA27241EMIS	NSAID	NSAID	50	Lofensaid  Tablets  50 mg
LUTA18907NEMIS	NSAID	NSAID	100	Lumiracoxib  Tablets  100 mg
LUTA18910NEMIS	NSAID	NSAID	400	Lumiracoxib  Tablets  400 mg
MAM/26319EMIS	NSAID	NSAID	75	Maximet Sr  M/R capsules  75 m
MECA1751	NSAID	NSAID	250	Mefenamic Acid  Capsules  250 
MECA26322EMIS	NSAID	NSAID	250	Meflam  Capsules  250 mg
MEDI7045	NSAID	NSAID	1	Mefenamic Acid  Dispersible ta
MEPA1752	NSAID	NSAID	1	Mefenamic Acid  Paediatric sus
MESU11938NEMIS	NSAID	NSAID	50	Mefenamic Acid  Suspension  50
META1753	NSAID	NSAID	500	Mefenamic Acid  Tablets  500 m
META26323EMIS	NSAID	NSAID	500	Meflam  Tablets  500 mg
META28880EMIS	NSAID	NSAID	15	Meloxicam  Tablets  15 mg
META28881EMIS	NSAID	NSAID	7.5	Meloxicam  Tablets  7.5 mg
MOCAEGTON6138	NSAID	NSAID	25	Mobilan  Capsules  25 mg
MOCAEGTON6139	NSAID	NSAID	50	Mobilan  Capsules  50 mg
MOEF23713EMIS	NSAID	NSAID	1	Mobiflex  Effervescent tablets
MOGR22483EMIS	NSAID	NSAID	20	Mobiflex  Granules  20 mg/sach
MOM/25331EMIS	NSAID	NSAID	7	Motifene  E/C M/R capsules  7
MOTA28874EMIS	NSAID	NSAID	15	Mobic  Tablets  15 mg
MOTA28875EMIS	NSAID	NSAID	7.5	Mobic  Tablets  7.5 mg
MOTA8330EGTON	NSAID	NSAID	20	Mobiflex  Tablets  20 mg
MOTAEGTON6116	NSAID	NSAID	200	Motrin  Tablets  200 mg
MOTAEGTON6117	NSAID	NSAID	400	Motrin  Tablets  400 mg
MOTAEGTON6118	NSAID	NSAID	600	Motrin  Tablets  600 mg
MOTAEGTON6119	NSAID	NSAID	800	Motrin  Tablets  800 mg
NADI14482NEMIS	NSAID	NSAID	1	Nabumetone  Dispersible tablet
NAE/9202EMIS	NSAID	NSAID	250	Naproxen  E/c tablets  250 mg
NAE/9203EMIS	NSAID	NSAID	500	Naproxen  E/c tablets  500 mg
NAE/9385EMIS	NSAID	NSAID	250	Naprosyn  E/c tablets  250 mg
NAE/9386EMIS	NSAID	NSAID	375	Naprosyn  E/c tablets  375 mg
NAE/9387EMIS	NSAID	NSAID	500	Naprosyn  E/c tablets  500 mg
NAE/9389EMIS	NSAID	NSAID	375	Naproxen  E/c tablets  375 mg
NAGR1933	NSAID	NSAID	500	Naprosyn  Granules  500 mg
NAGR5187	NSAID	NSAID	500	Naproxen  Granules  500 mg
NAM/21940EMIS	NSAID	NSAID	375	Naproxen  M/R tablets  375 mg
NAM/21941EMIS	NSAID	NSAID	500	Naproxen  M/R tablets  500 mg
NAM/23440EMIS	NSAID	NSAID	500	Naprosyn Sr  M/R tablets  500 
NAM/47266NEMIS	NSAID	NSAID	1	Naproxen And Esomeprazole  M/R
NASU1935	NSAID	NSAID	125	Naprosyn  Suspension  125 mg/5
NASU5188	NSAID	NSAID	125	Naproxen  Oral suspension  125
NASU9734HILLI	NSAID	NSAID	1	Nabumetone  Suspension  Sugar 
NATA18046EMIS	NSAID	NSAID	1	Napratec OP  Tablets  
NATA1936	NSAID	NSAID	250	Naprosyn  Tablets  250 mg
NATA1937	NSAID	NSAID	500	Naprosyn  Tablets  500 mg
NATA1938	NSAID	NSAID	250	Naproxen  Tablets  250 mg
NATA1939	NSAID	NSAID	500	Naproxen  Tablets  500 mg
NATA19446NEMIS	NSAID	NSAID	1	Naproxen And Misoprostol  Tabl
NATA5182	NSAID	NSAID	500	Nabumetone  Tablets  500 mg
NATA5189	NSAID	NSAID	275	Naproxen Sodium  Tablets  275 
NATA9272EMIS	NSAID	NSAID	375	Naprosyn  Tablets  375 mg
NATA9274EMIS	NSAID	NSAID	375	Naproxen  Tablets  375 mg
NUCA16141NEMIS	NSAID	NSAID	200	Nurofen  Caplets  200 mg
NUDI14332NEMIS	NSAID	NSAID	1	Nurofen Meltlets  Dissolving T
NULI16149NEMIS	NSAID	NSAID	200	Nurofen  Liquid Capsules  200 
NUM/19692NEMIS	NSAID	NSAID	1	Nurofen Back Pain Sr  M/R caps
NUS/11319NEMIS	NSAID	NSAID	1	Nurofen Long Lasting  S/r caps
NUSU34990EMIS	NSAID	NSAID	1	Nurofen For Children  Sugar-fr
NUTA11316NEMIS	NSAID	NSAID	1	Nurofen Advance  Tablets  
NUTA25108NEMIS	NSAID	NSAID	1	Nurofen Cold & Flu  Tablets  
NUTA5832NEMIS	NSAID	NSAID	1	Nurofen Plus  Tablets  
NYE/9198EMIS	NSAID	NSAID	250	Nycopren  E/c tablets  250 mg
NYE/9199EMIS	NSAID	NSAID	500	Nycopren  E/c tablets  500 mg
ONCA43612NEMIS	NSAID	NSAID	400	Onsenal  Capsules  400 mg
OPCA26353EMIS	NSAID	NSAID	250	Opustan  Capsules  250 mg
OPTA26354EMIS	NSAID	NSAID	500	Opustan  Tablets  500 mg
ORCA2112	NSAID	NSAID	100	Orudis  Capsules  100 mg
ORCA2113	NSAID	NSAID	50	Orudis  Capsules  50 mg
ORCA2115	NSAID	NSAID	100	Oruvail  M/R capsules  100 mg
ORCA2116	NSAID	NSAID	200	Oruvail  S/r capsules  200 mg
ORM/24097EMIS	NSAID	NSAID	150	Oruvail  M/R capsules  150 mg
ORM/24102EMIS	NSAID	NSAID	200	Oruvail  M/R capsules  200 mg
ORSU13785NEMIS	NSAID	NSAID	1	Orbifen  Sugar-free oral suspe
PAM/4515NEMIS	NSAID	NSAID	75	Pardelprin  M/R capsules  75 m
PATA51116NEMIS	NSAID	NSAID	1	Paracetamol And Ibuprofen  Tab
PATAEGTON6129	NSAID	NSAID	200	Paxofen  Tablets  200 mg
PATAEGTON6130	NSAID	NSAID	400	Paxofen  Tablets  400 mg
PATAEGTON6131	NSAID	NSAID	600	Paxofen  Tablets  600 mg
PHTA5277	NSAID	NSAID	100	Phenylbutazone  Tablets  100 m
PHTA6826	NSAID	NSAID	200	Phenylbutazone  Tablets  200 m
PICA10786BRIDL	NSAID	NSAID	10	Pirozip 10  Capsules  10 mg
PICA10788BRIDL	NSAID	NSAID	20	Pirozip 20  Capsules  20 mg
PICA2279	NSAID	NSAID	10	Piroxicam  Capsules  10 mg
PICA2280	NSAID	NSAID	20	Piroxicam  Capsules  20 mg
PICA26328EMIS	NSAID	NSAID	10	Piroflam  Capsules  10 mg
PICA26329EMIS	NSAID	NSAID	20	Piroflam  Capsules  20 mg
PICA36548MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (Iv
PICA36549MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (Ge
PICA36550MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (Ke
PICA36551MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (Un
PICA36552MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (Al
PICA36553MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (Th
PICA36554MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (A.
PICA36555MGEMIS	NSAID	NSAID	20	Piroxicam  Capsules  20 mg (Sa
PIDI2281	NSAID	NSAID	1	Piroxicam  Dispersible tablets
PIDI2282	NSAID	NSAID	1	Piroxicam  Dispersible tablets
PIDI36560MGEMIS	NSAID	NSAID	1	Piroxicam  Dispersible tablets
PIDI36561MGEMIS	NSAID	NSAID	1	Piroxicam  Dispersible tablets
PIDI36562MGEMIS	NSAID	NSAID	1	Piroxicam  Dispersible tablets
PIDI36563MGEMIS	NSAID	NSAID	1	Piroxicam  Dispersible tablets
PIIN22461EMIS	NSAID	NSAID	20	Piroxicam  Injection  20 mg/ml
PIME22465EMIS	NSAID	NSAID	1	Piroxicam  Orodispersible tabl
PISU2283	NSAID	NSAID	20	Piroxicam  Suppositories  20 m
PITA34389EMIS	NSAID	NSAID	1	Piroxicam-Beta-Cyclodextrin  T
POCA2306	NSAID	NSAID	250	Ponstan  Capsules  250 mg
PODIEGTON6710	NSAID	NSAID	1	Ponstan Dispersible  Dispersib
POPA2307	NSAID	NSAID	1	Ponstan  Paediatric suspension
POTA2309	NSAID	NSAID	500	Ponstan  Tablets forte  500 mg
PRM/21936EMIS	NSAID	NSAID	1	Pranoxen Continus  M/R tablets
PRM/21937EMIS	NSAID	NSAID	1	Pranoxen Continus  M/R tablets
PRTA18912NEMIS	NSAID	NSAID	100	Prexige  Tablets  100 mg
PRTA18914NEMIS	NSAID	NSAID	400	Prexige  Tablets  400 mg
PRTA22246EMIS	NSAID	NSAID	250	Prosaid  Tablets  250 mg
PRTA22247EMIS	NSAID	NSAID	500	Prosaid  Tablets  500 mg
PRTA2364	NSAID	NSAID	200	Progesic  Tablets  200 mg
PRTA28339EMIS	NSAID	NSAID	100	Preservex  Tablets  100 mg
RATA2430	NSAID	NSAID	200	Ramodar  Tablets  200 mg
REDI14483NEMIS	NSAID	NSAID	1	Relifex  Dispersible tablets  
RESU9873HILLI	NSAID	NSAID	500	Relifex  Suspension  500 mg/5 
RETA2443	NSAID	NSAID	500	Relifex  Tablets  500 mg
RHCA2448	NSAID	NSAID	300	Rheumox  Capsules  300 mg
RHCAEGTON6141	NSAID	NSAID	75	Rheumacin La  M/R capsules  75
RHM/19274NEMIS	NSAID	NSAID	75	Rhumalgan Sr  M/R capsules  75
RHM/19276NEMIS	NSAID	NSAID	10	Rhumalgan Xl  M/R capsules  10
RHM/34588EMIS	NSAID	NSAID	100	Rhumalgan Cr  M/R tablets  100
RHM/34589EMIS	NSAID	NSAID	75	Rhumalgan Cr  M/R tablets  75 
RHM/6447NEMIS	NSAID	NSAID	1	Rheumatac Retard  M/R tablets 
RHM/8969DLSEM	NSAID	NSAID	100	Rhumalgan  M/R tablets  100 mg
RHM/8971DLSEM	NSAID	NSAID	75	Rhumalgan  M/R tablets  75 mg
RHTA2449	NSAID	NSAID	600	Rheumox  Tablets  600 mg
RHTAEGTON6134	NSAID	NSAID	25	Rhumalgan  Tablets  25 mg
RHTAEGTON6135	NSAID	NSAID	50	Rhumalgan  Tablets  50 mg
ROOR469NEMIS	NSAID	NSAID	1	Rofecoxib  Oral suspension  Su
ROOR470NEMIS	NSAID	NSAID	1	Rofecoxib  Oral suspension  Su
ROTA11575NEMIS	NSAID	NSAID	50	Rofecoxib  Tablets  50 mg
ROTA466NEMIS	NSAID	NSAID	12.5	Rofecoxib  Tablets  12.5 mg
ROTA468NEMIS	NSAID	NSAID	25	Rofecoxib  Tablets  25 mg
SETA20915NEMIS	NSAID	NSAID	300	Seractil  Tablets  300 mg
SETA20916NEMIS	NSAID	NSAID	400	Seractil  Tablets  400 mg
SLCAEGTON6143	NSAID	NSAID	75	Slo-Indo  M/R capsules  75 mg
SLM/30972EMIS	NSAID	NSAID	100	Slofenac Sr  M/R tablets  100 
SLM/30974EMIS	NSAID	NSAID	75	Slofenac Sr  M/R tablets  75 m
SOTA16103NEMIS	NSAID	NSAID	1	Solpaflex  Tablets  
STLO14771NEMIS	NSAID	NSAID	8.75	Streflam  Lozenges  8.75 mg
STLO1530NEMIS	NSAID	NSAID	8.75	Strefen  Lozenges  8.75 mg
SUCA8866BRIDL	NSAID	NSAID	300	Surgam Sa  Capsules  300 mg
SUSA2744	NSAID	NSAID	300	Surgam  Sachets  300 mg
SUTA2724	NSAID	NSAID	100	Sulindac  Tablets  100 mg
SUTA2725	NSAID	NSAID	200	Sulindac  Tablets  200 mg
SUTA2745	NSAID	NSAID	300	Surgam  Tablets  300 mg
SUTA9172BRIDL	NSAID	NSAID	200	Surgam  Tablets  200 mg
SYTA4369	NSAID	NSAID	275	Synflex  Tablets  275 mg
TEEF23715EMIS	NSAID	NSAID	1	Tenoxicam  Effervescent tablet
TEGR22485EMIS	NSAID	NSAID	20	Tenoxicam  Granules  20 mg/sac
TETA20599EMIS	NSAID	NSAID	20	Tenoxicam  Tablets  20 mg
TICA13576NEMIS	NSAID	NSAID	100	Tiloket Cr  M/R capsules  100 
TICA13577NEMIS	NSAID	NSAID	200	Tiloket Cr  M/R capsules  200 
TICA18210NEMIS	NSAID	NSAID	50	Tiloket  Capsules  50 mg
TIE/32937EMIS	NSAID	NSAID	250	Timpron 250 Ec  E/c tablets  2
