CODE	FAMILY	TYPE	DOSE(mg)	DESCRIPTION
bh4v.	ALPHA	Prazosin		PRAZOSIN titration pack 8x500micrograms + 32x1mg
bh4w.	ALPHA	Prazosin	0.5	PRAZOSIN tabs 500 micrograms
bh4x.	ALPHA	Prazosin	1	PRAZOSIN tabs 1mg
bh4y.	ALPHA	Prazosin	2	PRAZOSIN tabs 2mg
bh4z.	ALPHA	Prazosin	5	PRAZOSIN HYDROCHLORI TAB 5
bh51.	ALPHA	Terazosin	2	HYTRIN tabs 2mg
bh52.	ALPHA	Terazosin	5	HYTRIN tabs 5mg
bh53.	ALPHA	Terazosin	10	HYTRIN TAB 10mg
bh54.	ALPHA	Terazosin		HYTRIN STARTER PACK
bh55.	ALPHA	Terazosin	5	TERAZOSIN tabs 5mg
bh56.	ALPHA	Terazosin	10	TERAZOSIN tabs 10mg
bh5y.	ALPHA	Terazosin		TERAZOSIN starter pack 7 x 1mg + 21 x 2mg
bh5z.	ALPHA	Terazosin	2	TERAZOSIN tabs 2mg
bh6..	ALPHA	Doxazosin	4	DOXAZOSIN oral susp 4mg/5ml
bh61.	ALPHA	Doxazosin	1	DOXAZOSIN tabs 1mg
bh62.	ALPHA	Doxazosin	2	DOXAZOSIN tabs 2mg
bh63.	ALPHA	Doxazosin	4	DOXAZOSIN tabs 4mg
bh64.	ALPHA	Doxazosin	1	CARDURA tabs 1mg
bh65.	ALPHA	Doxazosin	2	CARDURA TABS 2MG
bh66.	ALPHA	Doxazosin	4	CARDURA tabs 4mg
bh67.	ALPHA	Doxazosin	4	CARDURA XL mr tab 4mg
bh68.	ALPHA	Doxazosin	8	CARDURA XL mr tab 8mg
bh6B.	ALPHA	Doxazosin	1	DOXAZOSIN tabs 1mg
bh6C.	ALPHA	Doxazosin	2	DOXADURA tabs 2mg
bh6D.	ALPHA	Doxazosin	4	DOXADURA tabs 4mg
bh6E.	ALPHA	Doxazosin	4	SLOCINX XL tabs 4mg
bh6F.	ALPHA	Doxazosin	4	DOXADURA XL tabs 4mg
bh6y.	ALPHA	Doxazosin	8	DOXAZOSIN mr tab 8mg
bh6z.	ALPHA	Doxazosin	4	DOXAZOSIN mr tab 4mg
bi1..	ACEI	Captopril	5	CAPTOPRIL oral liq 5mg/5ml
bi11.	ACEI	Captopril	12.5	ACEPRIL TAB 12.5
bi13.	ACEI	Captopril	25	ACEPRIL 25mg tabs
bi15.	ACEI	Captopril	50	ACEPRIL TAB 50
bi16.	ACEI	Captopril	12.5	CAPOTEN TAB 12.5
bi17.	ACEI	Captopril	25	Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceutical...
bi18.	ACEI	Captopril	25	CAPOTEN TAB 25
bi19.	ACEI	Captopril	50	CAPOTEN TAB 50
bi1a.	ACEI	Captopril	50	CAPOTEN TAB 50mg
bi1b.	ACEI	Captopril	25	ACEZIDE TAB
bi1b.	DIUR_THI	Hydrochlorothiazide	15	ACEZIDE TAB
bi1c.	ACEI	Captopril	50	CAPOZIDE tabs 50mg + 25mg
bi1c.	DIUR_THI	Hydrochlorothiazide	25	CAPOZIDE tabs 50mg + 25mg
bi1d.	ACEI	Captopril	25	CAPOZIDE LS tablets 25mg + 12.5mg
bi1d.	DIUR_THI	Hydrochlorothiazide	12.5	CAPOZIDE LS tablets 25mg + 12.5mg
bi1f.	ACEI	Captopril	50	CAPTOPRIL + HYDROCHLOROTHIAZIDE tabs 50mg + 25mg
bi1f.	DIUR_THI	Hydrochlorothiazide	25	CAPTOPRIL + HYDROCHLOROTHIAZIDE tabs 50mg + 25mg
bi1F.	ACEI	Captopril	25	CAPTOPRIL + HYDROCHLOROTHIAZIDE tabs 25mg + 12.5mg
bi1F.	DIUR_THI	Hydrochlorothiazide	12.5	CAPTOPRIL + HYDROCHLOROTHIAZIDE tabs 25mg + 12.5mg
bi1G.	ACEI	Captopril	50	CAPTOPRIL + HYDROCHLOROTHIAZIDE tabs 50mg + 25mg
bi1G.	DIUR_THI	Hydrochlorothiazide	25	CAPTOPRIL + HYDROCHLOROTHIAZIDE tabs 50mg + 25mg
bi1J.	ACEI	Captopril	25	Noyada 25mg/5ml oral solution (Martindale Pharmaceuticals...
bi1s.	ACEI	Captopril	50	CAPOZIDE tabs 50mg + 25mg
bi1s.	DIUR_THI	Hydrochlorothiazide	25	CAPOZIDE tabs 50mg + 25mg
bi1v.	ACEI	Captopril	12.5	CAPTOPRIL tabs 12.5mg
bi1w.	ACEI	Captopril	25	CAPTOPRIL TAB 25
bi1x.	ACEI	Captopril	25	CAPTOPRIL tabs 25mg
bi1z.	ACEI	Captopril	50	CAPTOPRIL tabs 50mg
bi2..	ACEI	Enalapril	5	ENALAPRIL oral soln 5mg/5ml
bi21.	ACEI	Enalapril	2.5	INNOVACE TAB 2.5
bi22.	ACEI	Enalapril	5	INNOVACE TAB 5
bi23.	ACEI	Enalapril	5	INNOVACE tabs 5mg
bi24.	ACEI	Enalapril	10	INNOVACE TAB 10
bi25.	ACEI	Enalapril	10	INNOVACE tabs 10mg
bi26.	ACEI	Enalapril	20	INNOVACE TAB 20
bi27.	ACEI	Enalapril	20	INNOVACE tabs 20mg
bi28.	ACEI	Enalapril	20	INNOZIDE
bi28.	DIUR_THI	Hydrochlorothiazide	12.5	INNOZIDE
bi2b.	ACEI	Enalapril	20	ENALAPRIL + HYDROCHLOROTHIAZIDE tabs 20mg + 12.5mg
bi2b.	DIUR_THI	Hydrochlorothiazide	12.5	ENALAPRIL + HYDROCHLOROTHIAZIDE tabs 20mg + 12.5mg
bi2D.	ACEI	Enalapril	20	ENALAPRIL WAFER 20MG
bi2t.	ACEI	Enalapril	2.5	ENALAPRIL tabs 2.5mg
bi2u.	ACEI	Enalapril	5	Enalapril 5mg tablets
bi2v.	ACEI	Enalapril	5	ENALAPRIL tabs 5mg
bi2w.	ACEI	Enalapril	10	ENALAPRIL tabs 10mg
bi2x.	ACEI	Enalapril	10	ENALAPRIL tabs 10mg
bi2y.	ACEI	Enalapril	20	Enalapril 20mg tablets
bi2z.	ACEI	Enalapril	20	ENALAPRIL tabs 20mg
bi31.	ACEI	Lisinopril	2.5	LISINOPRIL tabs 2.5mg
bi32.	ACEI	Lisinopril	5	LISINOPRIL tabs 5mg
bi33.	ACEI	Lisinopril	10	LISINOPRIL tabs 10mg
bi34.	ACEI	Lisinopril	20	LISINOPRIL tabs 20mg
bi35.	ACEI	Lisinopril	2.5	CARACE tabs 2.5mg
bi37.	ACEI	Lisinopril	5	CARACE tabs 5mg
bi39.	ACEI	Lisinopril	10	CARACE tabs 10mg
bi3b.	ACEI	Lisinopril	20	CARACE tabs 20mg
bi3d.	ACEI	Lisinopril	2.5	ZESTRIL tabs 2.5mg
bi3f.	ACEI	Lisinopril	5	ZESTRIL tabs 5mg
bi3h.	ACEI	Lisinopril	10	ZESTRIL tabs 10mg
bi3j.	ACEI	Lisinopril	20	ZESTRIL tabs 20mg
bi3k.	ACEI	Lisinopril	20	CARACE 20 plus tab
bi3k.	DIUR_THI	Hydrochlorothiazide	12.5	CARACE 20 plus tab
bi3l.	ACEI	Lisinopril	10	CARACE 10 plus tab
bi3l.	DIUR_THI	Hydrochlorothiazide	12.5	CARACE 10 plus tab
bi3n.	ACEI	Lisinopril	20	ZESTORETIC 20-tab 20mg + 12.5mg
bi3n.	DIUR_THI	Hydrochlorothiazide	12.5	ZESTORETIC 20-tab 20mg + 12.5mg
bi3p.	ACEI	Lisinopril	20	LISINOPRIL + HYDROCHLOROTHIAZIDE tabs 20mg/12.5mg
bi3p.	DIUR_THI	Hydrochlorothiazide	12.5	LISINOPRIL + HYDROCHLOROTHIAZIDE tabs 20mg/12.5mg
bi3s.	ACEI	Lisinopril	10	ZESTORETIC 10-tab 10mg + 12.5mg
bi3s.	DIUR_THI	Hydrochlorothiazide	12.5	ZESTORETIC 10-tab 10mg + 12.5mg
bi3t.	ACEI	Lisinopril	10	LISINOPRIL + HYDROCHLOROTHIAZIDE tabs 10mg + 12.5mg
bi3t.	DIUR_THI	Hydrochlorothiazide	12.5	LISINOPRIL + HYDROCHLOROTHIAZIDE tabs 10mg + 12.5mg
bi41.	ACEI	Quinapril	5	QUINAPRIL tabs 5mg
bi42.	ACEI	Quinapril	10	QUINAPRIL tabs 10mg
bi43.	ACEI	Quinapril	20	QUINAPRIL tabs 20mg
bi44.	ACEI	Quinapril	5	ACCUPRO TAB 5
bi45.	ACEI	Quinapril	10	ACCUPRO 10mgX28 tabs
bi46.	ACEI	Quinapril	20	ACCUPRO TAB 20
bi47.	ACEI	Quinapril	10	ACCURETIC tabs 10mg + 12.5mg
bi47.	DIUR_THI	Hydrochlorothiazide	12.5	ACCURETIC tabs 10mg + 12.5mg
bi48.	ACEI	Quinapril	10	QUINAPRIL & HYDROCHLOROTHIAZIDE tabs 10mg + 12.5mg
bi48.	DIUR_THI	Hydrochlorothiazide	12.5	QUINAPRIL & HYDROCHLOROTHIAZIDE tabs 10mg + 12.5mg
bi49.	ACEI	Quinapril	40	ACCUPRO tabs 40mg
bi4A.	ACEI	Quinapril	40	QUINAPRIL tabs 40mg
bi4D.	ACEI	Quinapril	20	QUINIL tabs 20mg
bi5..	ACEI	Perindopril	4	PERINDOPRIL ERBUMINE oral susp 4mg/5ml
bi51.	ACEI	Perindopril	2	PERINDOPRIL ERBUMINE tabs 2mg
bi52.	ACEI	Perindopril	4	PERINDOPRIL ERBUMINE tabs 4mg
bi53.	ACEI	Perindopril	2	COVERSYL tabs 2mg
bi54.	ACEI	Perindopril	4	COVERSYL tabs 4mg
bi55.	ACEI	Perindopril	4	PERINDOPRIL + INDAPAMIDE tabs 4mg + 1.25mg
bi55.	DIUR_THI	Indapamide	1.25	PERINDOPRIL + INDAPAMIDE tabs 4mg + 1.25mg
bi56.	ACEI	Perindopril	5	COVERSYL PLUS tabs
bi56.	DIUR_THI	Indapamide	1.25	COVERSYL PLUS tabs
bi57.	ACEI	Perindopril	8	PERINDOPRIL ERBUMINE tabs 8mg
bi58.	ACEI	Perindopril	8	COVERSYL tabs 8mg
bi61.	ACEI	Ramipril	1.25	RAMIPRIL caps 1.25mg
bi62.	ACEI	Ramipril	2.5	RAMIPRIL caps 2.5mg
bi63.	ACEI	Ramipril	5	RAMIPRIL caps 5mg
bi64.	ACEI	Ramipril	1.25	TRITACE CAP 1.25
bi65.	ACEI	Ramipril	2.5	TRITACE CAP 2.5
bi66.	ACEI	Ramipril	5	TRITACE CAP 5
bi67.	ACEI	Ramipril	10	RAMIPRIL caps 10mg
bi68.	ACEI	Ramipril	10	Tritace Capsules 10mg
bi69.	ACEI	Ramipril		RAMIPRIL caps 2.5mg + 5mg + 10mg
bi6A.	ACEI	Ramipril		TRITACE TITRATION PACK caps 2.5mg + 5mg + 10mg
bi6B.	ACEI	Ramipril	1.25	RAMIPRIL tabs 1.25mg
bi6C.	ACEI	Ramipril	2.5	RAMIPRIL tabs 2.5mg
bi6D.	ACEI	Ramipril	5	RAMIPRIL tabs 5mg
bi6E.	ACEI	Ramipril	10	RAMIPRIL tabs 10mg
bi6F.	ACEI	Ramipril		RAMIPRIL tabs 2.5mg + 5mg + 10mg
bi6o.	ACEI	Ramipril		TRITACE TITRATION PACK tabs 2.5mg + 5mg + 10mg
bi6t.	ACEI	Ramipril	2.5	LOPACE caps 2.5mg
bi6u.	ACEI	Ramipril	5	LOPACE caps 5mg
bi6v.	ACEI	Ramipril	10	LOPACE caps 10mg
bi6w.	ACEI	Ramipril	10	TRITACE tabs 10mg
bi6x.	ACEI	Ramipril	5	TRITACE tabs 5mg
bi6y.	ACEI	Ramipril	2.5	TRITACE tabs 2.5mg
bi71.	ACEI	Fosinopril	10	FOSINOPRIL tabs 10mg
bi72.	ACEI	Fosinopril	20	FOSINOPRIL tabs 20mg
bi73.	ACEI	Fosinopril	10	STARIL TAB 10
bi74.	ACEI	Fosinopril	20	STARIL TAB 20mg
bi83.	ACEI	Cilazapril		CILAZAPRIL
bi84.	ACEI	Cilazapril	2.5	Cilazapril Tablets 2.5 mg
bi86.	ACEI	Cilazapril	0.5	VASCACE TAB 0.5
bi87.	ACEI	Cilazapril	1	VASCACE TAB 1
bi88.	ACEI	Cilazapril	2.5	VASCACE TAB 2.5
bi89.	ACEI	Cilazapril	5	VASCACE tabs 5mg
bi8a.	ACEI	Cilazapril	5	CILAZAPRIL tabs 5mg
bi91.	ACEI	Trandolapril	0.5	TRANDOLAPRIL caps 500 micrograms
bi92.	ACEI	Trandolapril	1	TRANDOLAPRIL caps 1mg
bi93.	ACEI	Trandolapril	2	TRANDOLAPRIL caps 2mg
bi94.	ACEI	Trandolapril	0.5	GOPTEN CAP 0.5
bi95.	ACEI	Trandolapril	1	GOPTEN CAP 1
bi96.	ACEI	Trandolapril	2	GOPTEN caps 2mg
bi9z.	ACEI	Trandolapril	4	TRANDOLAPRIL caps 4mg
biB1.	ACEI	Imidapril	5	TANATRIL tabs 5mg
biB2.	ACEI	Imidapril	10	TANATRIL tabs 10mg
biB3.	ACEI	Imidapril	20	TANATRIL tabs 20mg
biBx.	ACEI	Imidapril	20	IMIDAPRIL HCl tabs 20mg
biBy.	ACEI	Imidapril	5	IMIDAPRIL HCl tabs 5mg
biBz.	ACEI	Imidapril	10	IMIDAPRIL HCl tabs 10mg
biC1.	ACEI	Perindopril	2.5	COVERSYL ARGININE tabs 2.5mg
biC2.	ACEI	Perindopril	2.5	PERINDOPRIL ARGININE tabs 2.5mg
biC3.	ACEI	Perindopril	5	COVERSYL ARGININE tabs 5mg
biC4.	ACEI	Perindopril	5	Perindopril arginine 5mg tablets
biC5.	ACEI	Perindopril	10	Coversyl Arginine 10mg tablets (Servier Laboratories Ltd)
biC6.	ACEI	Perindopril	10	PERINDOPRIL ARGININE tabs 10mg
biC7.	ACEI	Perindopril	5	COVERSYL ARGININE PLUS tabs 5mg + 1.25mg
biC7.	DIUR_THI	Indapamide	1.25	COVERSYL ARGININE PLUS tabs 5mg + 1.25mg
biC8.	ACEI	Perindopril	5	PERINDOPRIL ARGININE + INDAPAMIDE tabs 5mg + 1.25mg
biC8.	DIUR_THI	Indapamide	1.25	PERINDOPRIL ARGININE + INDAPAMIDE tabs 5mg + 1.25mg
bk3..	ARB	Losartan	50	Losartan 50mg/5ml oral suspension
bk31.	ARB	Losartan	25	LOSARTAN tabs 25mg
bk32.	ARB	Losartan	50	LOSARTAN tabs 50mg
bk33.	ARB	Losartan	25	COZAAR tabs 25mg
bk34.	ARB	Losartan	50	COZAAR TAB 50
bk35.	ARB	Losartan	50	LOSARTAN + HYDROCHLOROTHIAZIDE tabs 50mg + 12.5mg
bk35.	DIUR_THI	Hydrochlorothiazide	12.5	LOSARTAN + HYDROCHLOROTHIAZIDE tabs 50mg + 12.5mg
bk36.	ARB	Losartan	50	Cozaar-Comp Tablets 50mg + 12.5mg
bk36.	DIUR_THI	Hydrochlorothiazide	12.5	Cozaar-Comp Tablets 50mg + 12.5mg
bk37.	ARB	Losartan	100	LOSARTAN tabs 100mg
bk38.	ARB	Losartan	100	COZAAR tabs 100mg
bk39.	ARB	Losartan	100	COZAAR-COMP tabs 100mg + 25mg
bk39.	DIUR_THI	Hydrochlorothiazide	25	COZAAR-COMP tabs 100mg + 25mg
bk3A.	ARB	Losartan	100	COZAAR-COMP tabs 100mg + 12.5mg
bk3A.	DIUR_THI	Hydrochlorothiazide	12.5	COZAAR-COMP tabs 100mg + 12.5mg
bk3B.	ARB	Losartan	12.5	COZAAR tabs 12.5mg
bk3C.	ARB	Losartan	12.5	Losartan 12.5mg tablets
bk3E.	ARB	Losartan	2.5	Losartan 2.5mg/ml oral suspension sugar free
bk3y.	ARB	Losartan	100	LOSARTAN + HYDROCHLOROTHIAZIDE tabs 100mg + 12.5mg
bk3y.	DIUR_THI	Hydrochlorothiazide	12.5	LOSARTAN + HYDROCHLOROTHIAZIDE tabs 100mg + 12.5mg
bk3z.	ARB	Losartan	100	LOSARTAN + HYDROCHLOROTHIAZIDE tabs 100mg + 25mg
bk3z.	DIUR_THI	Hydrochlorothiazide	25	LOSARTAN + HYDROCHLOROTHIAZIDE tabs 100mg + 25mg
bk4..	ARB	Valsartan	80	Valsartan 80mg tablets
bk41.	ARB	Valsartan	40	VALSARTAN caps 40mg
bk42.	ARB	Valsartan	80	VALSARTAN caps 80mg
bk43.	ARB	Valsartan	160	VALSARTAN caps 160mg
bk44.	ARB	Valsartan	40	DIOVAN caps 40mg
bk45.	ARB	Valsartan	80	DIOVAN caps 80mg
bk46.	ARB	Valsartan	160	DIOVAN caps 160mg
bk47.	ARB	Valsartan	160	CO-DIOVAN tabs 160mg + 12.5mg
bk47.	DIUR_THI	Hydrochlorothiazide	12.5	CO-DIOVAN tabs 160mg + 12.5mg
bk48.	ARB	Valsartan	160	CO-DIOVAN tabs 160mg + 25mg
bk48.	DIUR_THI	Hydrochlorothiazide	25	CO-DIOVAN tabs 160mg + 25mg
bk49.	ARB	Valsartan	80	CO-DIOVAN tabs 80mg + 12.5mg
bk49.	DIUR_THI	Hydrochlorothiazide	12.5	CO-DIOVAN tabs 80mg + 12.5mg
bk4v.	ARB	Valsartan	320	Valsartan 320mg tablets
bk4w.	ARB	Valsartan	40	VALSARTAN tabs 40mg
bk4x.	ARB	Valsartan	80	VALSARTAN + HYDROCHLOROTHIAZIDE tabs 80mg + 12.5mg
bk4x.	DIUR_THI	Hydrochlorothiazide	12.5	VALSARTAN + HYDROCHLOROTHIAZIDE tabs 80mg + 12.5mg
bk4y.	ARB	Valsartan	160	VALSARTAN + HYDROCHLOROTHIAZIDE tabs 160mg + 25mg
bk4y.	DIUR_THI	Hydrochlorothiazide	25	VALSARTAN + HYDROCHLOROTHIAZIDE tabs 160mg + 25mg
bk4z.	ARB	Valsartan	160	VALSARTAN + HYDROCHLOROTHIAZIDE tabs 160mg + 12.5mg
bk4z.	DIUR_THI	Hydrochlorothiazide	12.5	VALSARTAN + HYDROCHLOROTHIAZIDE tabs 160mg + 12.5mg
bk51.	ARB	Irbesartan	75	IRBESARTAN tabs 75mg
bk52.	ARB	Irbesartan	150	IRBESARTAN tabs 150mg
bk53.	ARB	Irbesartan	300	IRBESARTAN tabs 300mg
bk54.	ARB	Irbesartan	75	APROVEL tabs 75mg
bk55.	ARB	Irbesartan	150	APROVEL tabs 150mg
bk56.	ARB	Irbesartan	300	APROVEL tabs 300mg
bk57.	ARB	Irbesartan	150	Coaprovel Tablets 150mg + 12.5mg
bk57.	DIUR_THI	Hydrochlorothiazide	12.5	Coaprovel Tablets 150mg + 12.5mg
bk58.	ARB	Irbesartan	300	Coaprovel Tablets 300 mg + 12.5 mg
bk58.	DIUR_THI	Hydrochlorothiazide	12.5	Coaprovel Tablets 300 mg + 12.5 mg
bk59.	ARB	Irbesartan	300	COAPROVEL tabs 300mg + 25mg
bk59.	DIUR_THI	Hydrochlorothiazide	25	COAPROVEL tabs 300mg + 25mg
bk5x.	ARB	Irbesartan	300	IRBESARTAN + HYDROCHLOROTHIAZIDE tabs 300mg + 25mg
bk5x.	DIUR_THI	Hydrochlorothiazide	25	IRBESARTAN + HYDROCHLOROTHIAZIDE tabs 300mg + 25mg
bk5y.	ARB	Irbesartan	300	IRBESARTAN + HYDROCHLOROTHIAZIDE tabs 300mg + 12.5mg
bk5y.	DIUR_THI	Hydrochlorothiazide	12.5	IRBESARTAN + HYDROCHLOROTHIAZIDE tabs 300mg + 12.5mg
bk5z.	ARB	Irbesartan	150	IRBESARTAN + HYDROCHLOROTHIAZIDE tabs 150mg + 12.5mg
bk5z.	DIUR_THI	Hydrochlorothiazide	12.5	IRBESARTAN + HYDROCHLOROTHIAZIDE tabs 150mg + 12.5mg
bk61.	ACEI	Trandolapril	2	VERAPAMIL HCl + TRANDOLAPRIL mr cap 180mg + 2mg
bk61.	CCB	Verapamil	180	VERAPAMIL HCl + TRANDOLAPRIL mr cap 180mg + 2mg
bk62.	ACEI	Trandolapril	2	TARKA caps 180mg + 2mg
bk62.	CCB	Verapamil	180	TARKA caps 180mg + 2mg
bk7..	ARB	Candesartan	8	Candesartan 8mg/5ml oral solution
bk71.	ARB	Candesartan	2	CANDESARTAN tabs 2mg
bk72.	ARB	Candesartan	4	CANDESARTAN tabs 4mg
bk73.	ARB	Candesartan	8	CANDESARTAN tabs 8mg
bk74.	ARB	Candesartan	16	CANDESARTAN tabs 16mg
bk75.	ARB	Candesartan	2	Amias 2mg tablets (Takeda UK Ltd)
bk76.	ARB	Candesartan	4	AMIAS tabs 4mg
bk77.	ARB	Candesartan	8	AMIAS tabs 8mg
bk78.	ARB	Candesartan	16	AMIAS tabs 16mg
bk79.	ARB	Candesartan	32	Amias 32mg tablets (Takeda UK Ltd)
bk7z.	ARB	Candesartan	32	CANDESARTAN tabs 32mg
bk81.	ARB	Telmisartan	40	TELMISARTAN tabs 40mg
bk82.	ARB	Telmisartan	80	TELMISARTAN tabs 80mg
bk83.	ARB	Telmisartan	40	MICARDIS tabs 40mg
bk84.	ARB	Telmisartan	80	MICARDIS tabs 80mg
bk85.	ARB	Telmisartan	20	MICARDIS tabs 20mg
bk86.	ARB	Telmisartan	40	MICARDIS PLUS tabs 40mg + 12.5mg
bk86.	DIUR_THI	Hydrochlorothiazide	12.5	MICARDIS PLUS tabs 40mg + 12.5mg
bk87.	ARB	Telmisartan	80	MICARDIS PLUS tabs 80mg + 12.5mg
bk87.	DIUR_THI	Hydrochlorothiazide	12.5	MICARDIS PLUS tabs 80mg + 12.5mg
bk8w.	ARB	Telmisartan	80	TELMISARTAN + HYDROCHLOROTHIAZIDE tabs 80mg + 25mg
bk8w.	DIUR_THI	Hydrochlorothiazide	25	TELMISARTAN + HYDROCHLOROTHIAZIDE tabs 80mg + 25mg
bk8x.	ARB	Telmisartan	40	TELMISARTAN + HYDROCHLOROTHIAZIDE tabs 40mg + 12.5mg
bk8x.	DIUR_THI	Hydrochlorothiazide	12.5	TELMISARTAN + HYDROCHLOROTHIAZIDE tabs 40mg + 12.5mg
bk8y.	ARB	Telmisartan	80	TELMISARTAN + HYDROCHLOROTHIAZIDE tabs 80mg + 12.5mg
bk8y.	DIUR_THI	Hydrochlorothiazide	12.5	TELMISARTAN + HYDROCHLOROTHIAZIDE tabs 80mg + 12.5mg
bk8z.	ARB	Telmisartan	20	TELMISARTAN tabs 20mg
bk91.	ARB	Eprosartan	300	TEVETEN tabs 300mg
bk92.	ARB	Eprosartan	400	TEVETEN tabs 400mg
bk93.	ARB	Eprosartan	600	TEVETEN tabs 600mg
bk9x.	ARB	Eprosartan	300	EPROSARTAN tabs 300mg
bk9y.	ARB	Eprosartan	400	EPROSARTAN tabs 400mg
bk9z.	ARB	Eprosartan	600	EPROSARTAN tabs 600mg
bkB1.	ARB	Olmesartan	10	OLMESARTAN MEDOXOMIL tabs 10mg
bkB2.	ARB	Olmesartan	20	OLMESARTAN MEDOXOMIL tabs 20mg
bkB3.	ARB	Olmesartan	40	OLMESARTAN MEDOXOMIL tabs 40mg
bkB4.	ARB	Olmesartan	10	OLMETEC tabs 10mg
bkB5.	ARB	Olmesartan	20	OLMETEC tabs 20mg
bkB6.	ARB	Olmesartan	40	Olmetec 40mg tablets (Daiichi Sankyo UK Ltd)
bkC1.	ARB	Olmesartan	20	OLMETEC PLUS tabs 20mg + 12.5mg
bkC1.	DIUR_THI	Hydrochlorothiazide	12.5	OLMETEC PLUS tabs 20mg + 12.5mg
bkC2.	ARB	Olmesartan	20	OLMETEC PLUS tabs 20mg + 25mg
bkC2.	DIUR_THI	Hydrochlorothiazide	25	OLMETEC PLUS tabs 20mg + 25mg
bkCy.	ARB	Olmesartan	20	OLMESARTAN MEDOXOMIL + HYDROCHLOROTHIAZIDE tabs 20mg + 25mg
bkCy.	DIUR_THI	Hydrochlorothiazide	25	OLMESARTAN MEDOXOMIL + HYDROCHLOROTHIAZIDE tabs 20mg + 25mg
bkCz.	ARB	Olmesartan	20	OLMESARTAN MEDOXOMIL + HYDROCHLOROTHIAZIDE tabs 20mg+12.5mg
bkCz.	DIUR_THI	Hydrochlorothiazide	12.5	OLMESARTAN MEDOXOMIL + HYDROCHLOROTHIAZIDE tabs 20mg+12.5mg
bkD1.	CCB	Amlodipine	5	AMLODIPINE + VALSARTAN tabs 5mg + 80mg
bkD1.	ARB	Valsartan	80	AMLODIPINE + VALSARTAN tabs 5mg + 80mg
bkD2.	CCB	Amlodipine	5	AMLODIPINE + VALSARTAN tabs 5mg + 160mg
bkD2.	ARB	Valsartan	160	AMLODIPINE + VALSARTAN tabs 5mg + 160mg
bkD3.	CCB	Amlodipine	10	AMLODIPINE + VALSARTAN tabs 10mg + 160mg
bkD3.	ARB	Valsartan	160	AMLODIPINE + VALSARTAN tabs 10mg + 160mg
bkDx.	CCB	Amlodipine	10	EXFORGE tabs 10mg + 160mg
bkDx.	ARB	Valsartan	160	EXFORGE tabs 10mg + 160mg
bkDy.	CCB	Amlodipine	5	EXFORGE tabs 5mg + 160mg
bkDy.	ARB	Valsartan	160	EXFORGE tabs 5mg + 160mg
bkDz.	CCB	Amlodipine	5	EXFORGE tabs 5mg + 80mg
bkDz.	ARB	Valsartan	80	EXFORGE tabs 5mg + 80mg
bkH1.	ARB	Olmesartan	20	Sevikar 20mg/5mg tablets (Daiichi Sankyo UK Ltd)
bkH1.	CCB	Amlodipine	5	Sevikar 20mg/5mg tablets (Daiichi Sankyo UK Ltd)
bkHx.	ARB	Olmesartan	40	OLMESARTAN MEDOXOMIL + AMLODIPINE tabs 40mg + 10mg
bkHx.	CCB	Amlodipine	10	OLMESARTAN MEDOXOMIL + AMLODIPINE tabs 40mg + 10mg
bkHy.	ARB	Olmesartan	40	OLMESARTAN MEDOXOMIL + AMLODIPINE tabs 40mg + 5mg
bkHy.	CCB	Amlodipine	5	OLMESARTAN MEDOXOMIL + AMLODIPINE tabs 40mg + 5mg
bkHz.	ARB	Olmesartan	20	Olmesartan medoxomil 20mg / Amlodipine 5mg tablets
bkHz.	CCB	Amlodipine	5	Olmesartan medoxomil 20mg / Amlodipine 5mg tablets
bl51.	CCB	Diltiazem	60	TILDIEM mr tab 60mg
bl53.	CCB	Diltiazem	60	BRITIAZIM TAB 60
bl54.	CCB	Diltiazem	120	ADIZEM SR tablets 120mg
bl55.	CCB	Diltiazem	120	DILTIAZEM mr tab 120mg
bl58.	CCB	Diltiazem	90	TILDIEM RETARD TABS 90mg
bl59.	CCB	Diltiazem	120	TILDIEM RETARD tabs 120mg
bl5a.	CCB	Diltiazem	90	DILTIAZEM MR TAB 90MG
bl5A.	CCB	Diltiazem	300	TILDIEM LA caps 300mg
bl5b.	CCB	Diltiazem	300	DILTIAZEM 24hr mr caps 300mg
bl5B.	CCB	Diltiazem	90	ADIZEM SR caps 90mg
bl5c.	CCB	Diltiazem	90	DILTIAZEM mr cap 90mg
bl5C.	CCB	Diltiazem	120	ADIZEM SR caps 120mg
bl5d.	CCB	Diltiazem	120	DILTIAZEM mr cap 120mg
bl5D.	CCB	Diltiazem	180	ADIZEM SR cap 180mg
bl5e.	CCB	Diltiazem	180	DILTIAZEM mr cap 180mg
bl5E.	CCB	Diltiazem	300	ADIZEM XL caps 300mg
bl5f.	CCB	Diltiazem	60	DILTIAZEM 12hr mr caps 60mg
bl5F.	CCB	Diltiazem	60	DILZEM SR caps 60mg
bl5g.	CCB	Diltiazem	240	DILTIAZEM 24hr mr caps 240mg
bl5G.	CCB	Diltiazem	90	Dilzem SR 90 capsules (Teva UK Ltd)
bl5h.	CCB	Diltiazem	200	DILTIAZEM 24hr mr caps 200mg
bl5H.	CCB	Diltiazem	120	Dilzem SR 120 capsules (Teva UK Ltd)
bl5I.	CCB	Diltiazem	240	ADIZEM XL caps 240mg
bl5j.	CCB	Diltiazem		ADIZEM-XL PLUS CAP
